,State,State.ABBR,Prescribing.Rate,Year
25,Missouri,MO,84.3,2007
26,Montana,MT,81.1,2007
27,Nebraska,NE,65.1,2007
28,Nevada,NV,90.2,2007
29,New Hampshire,NH,78.5,2007
30,New Jersey,NJ,57.2,2007
31,New Mexico,NM,69.0,2007
32,New York,NY,46.1,2007
33,North Carolina,NC,87.5,2007
34,North Dakota,ND,59.3,2007
35,Ohio,OH,92.7,2007
36,Oklahoma,OK,114.4,2007
37,Oregon,OR,95.5,2007
38,Pennsylvania,PA,73.7,2007
39,Rhode Island,RI,82.2,2007
40,South Carolina,SC,91.7,2007
41,South Dakota,SD,49.9,2007
42,Tennessee,TN,128.8,2007
43,Texas,TX,71.2,2007
44,Utah,UT,89.8,2007
45,Vermont,VT,56.0,2007
46,Virginia,VA,70.1,2007
47,Washington,WA,84.4,2007
48,West Virginia,WV,135.1,2007
49,Wisconsin,WI,69.2,2007
50,Wyoming,WY,80.8,2007
0,Alabama,AL,126.1,2008
1,Alaska,AK,68.5,2008
2,Arizona,AZ,80.9,2008
3,Arkansas,AR,112.1,2008
4,California,CA,55.1,2008
5,Colorado,CO,67.7,2008
6,Connecticut,CT,68.7,2008
7,Delaware,DE,95.4,2008
8,District of Columbia,DC,34.5,2008
9,Florida,FL,84.3,2008
10,Georgia,GA,86.3,2008
11,Hawaii,HI,46.6,2008
12,Idaho,ID,82.7,2008
13,Illinois,IL,60.2,2008
14,Indiana,IN,103.3,2008
15,Iowa,IA,59.1,2008
16,Kansas,KS,82.7,2008
17,Kentucky,KY,136.6,2008
18,Louisiana,LA,113.7,2008
19,Maine,ME,88.7,2008
20,Maryland,MD,65.5,2008
21,Massachusetts,MA,69.2,2008
22,Michigan,MI,89.9,2008
23,Minnesota,MN,56.5,2008
24,Mississippi,MS,113.2,2008
25,Missouri,MO,86.8,2008
26,Montana,MT,85.3,2008
27,Nebraska,NE,66.2,2008
28,Nevada,NV,97.0,2008
29,New Hampshire,NH,81.7,2008
30,New Jersey,NJ,59.5,2008
31,New Mexico,NM,71.4,2008
32,New York,NY,48.4,2008
33,North Carolina,NC,88.6,2008
34,North Dakota,ND,61.7,2008
35,Ohio,OH,97.5,2008
36,Oklahoma,OK,111.3,2008
37,Oregon,OR,99.1,2008
38,Pennsylvania,PA,76.5,2008
39,Rhode Island,RI,82.9,2008
40,South Carolina,SC,94.1,2008
41,South Dakota,SD,52.1,2008
42,Tennessee,TN,132.9,2008
43,Texas,TX,71.3,2008
44,Utah,UT,91.3,2008
45,Vermont,VT,56.5,2008
46,Virginia,VA,73.0,2008
47,Washington,WA,86.6,2008
48,West Virginia,WV,145.5,2008
49,Wisconsin,WI,70.6,2008
50,Wyoming,WY,81.0,2008
0,Alabama,AL,131.6,2009
1,Alaska,AK,67.3,2009
2,Arizona,AZ,84.2,2009
3,Arkansas,AR,116.0,2009
4,California,CA,55.6,2009
5,Colorado,CO,69.8,2009
6,Connecticut,CT,68.1,2009
7,Delaware,DE,97.5,2009
8,District of Columbia,DC,34.4,2009
9,Florida,FL,86.3,2009
10,Georgia,GA,88.2,2009
11,Hawaii,HI,47.8,2009
12,Idaho,ID,85.2,2009
13,Illinois,IL,61.0,2009
14,Indiana,IN,105.6,2009
15,Iowa,IA,60.4,2009
16,Kansas,KS,82.8,2009
17,Kentucky,KY,135.2,2009
18,Louisiana,LA,113.0,2009
19,Maine,ME,87.9,2009
20,Maryland,MD,66.9,2009
21,Massachusetts,MA,68.9,2009
22,Michigan,MI,91.6,2009
23,Minnesota,MN,58.6,2009
24,Mississippi,MS,117.3,2009
25,Missouri,MO,88.5,2009
26,Montana,MT,85.8,2009
27,Nebraska,NE,66.4,2009
28,Nevada,NV,94.0,2009
29,New Hampshire,NH,81.5,2009
30,New Jersey,NJ,59.9,2009
31,New Mexico,NM,75.3,2009
32,New York,NY,49.5,2009
33,North Carolina,NC,89.3,2009
34,North Dakota,ND,60.3,2009
35,Ohio,OH,100.4,2009
36,Oklahoma,OK,115.0,2009
37,Oregon,OR,99.3,2009
38,Pennsylvania,PA,78.1,2009
39,Rhode Island,RI,82.5,2009
40,South Carolina,SC,95.8,2009
41,South Dakota,SD,52.3,2009
42,Tennessee,TN,138.4,2009
43,Texas,TX,71.8,2009
44,Utah,UT,86.9,2009
45,Vermont,VT,54.5,2009
46,Virginia,VA,74.1,2009
47,Washington,WA,86.1,2009
48,West Virginia,WV,146.9,2009
49,Wisconsin,WI,71.9,2009
50,Wyoming,WY,81.0,2009
0,Alabama,AL,134.3,2010
1,Alaska,AK,68.4,2010
2,Arizona,AZ,88.5,2010
3,Arkansas,AR,120.8,2010
4,California,CA,55.8,2010
5,Colorado,CO,72.0,2010
6,Connecticut,CT,68.6,2010
7,Delaware,DE,101.1,2010
8,District of Columbia,DC,37.1,2010
9,Florida,FL,87.6,2010
10,Georgia,GA,90.2,2010
11,Hawaii,HI,50.1,2010
12,Idaho,ID,88.6,2010
13,Illinois,IL,63.1,2010
14,Indiana,IN,107.1,2010
15,Iowa,IA,62.3,2010
16,Kansas,KS,86.1,2010
17,Kentucky,KY,136.5,2010
18,Louisiana,LA,112.6,2010
19,Maine,ME,92.8,2010
20,Maryland,MD,71.2,2010
21,Massachusetts,MA,67.9,2010
22,Michigan,MI,96.0,2010
23,Minnesota,MN,59.0,2010
24,Mississippi,MS,118.1,2010
25,Missouri,MO,91.0,2010
26,Montana,MT,87.2,2010
27,Nebraska,NE,69.0,2010
28,Nevada,NV,97.3,2010
29,New Hampshire,NH,81.6,2010
30,New Jersey,NJ,61.0,2010
31,New Mexico,NM,81.9,2010
32,New York,NY,51.0,2010
33,North Carolina,NC,93.1,2010
34,North Dakota,ND,63.0,2010
35,Ohio,OH,102.4,2010
36,Oklahoma,OK,119.6,2010
37,Oregon,OR,101.2,2010
38,Pennsylvania,PA,81.0,2010
39,Rhode Island,RI,82.7,2010
40,South Carolina,SC,98.6,2010
41,South Dakota,SD,54.0,2010
42,Tennessee,TN,140.0,2010
43,Texas,TX,73.0,2010
44,Utah,UT,86.6,2010
45,Vermont,VT,54.1,2010
46,Virginia,VA,75.5,2010
47,Washington,WA,85.0,2010
48,West Virginia,WV,143.1,2010
49,Wisconsin,WI,74.4,2010
50,Wyoming,WY,80.4,2010
0,Alabama,AL,136.6,2011
1,Alaska,AK,68.0,2011
2,Arizona,AZ,88.6,2011
3,Arkansas,AR,115.2,2011
4,California,CA,55.9,2011
5,Colorado,CO,73.0,2011
6,Connecticut,CT,69.1,2011
7,Delaware,DE,99.7,2011
8,District of Columbia,DC,39.8,2011
9,Florida,FL,83.5,2011
10,Georgia,GA,88.6,2011
11,Hawaii,HI,50.1,2011
12,Idaho,ID,91.4,2011
13,Illinois,IL,64.3,2011
14,Indiana,IN,106.7,2011
15,Iowa,IA,64.0,2011
16,Kansas,KS,87.8,2011
17,Kentucky,KY,137.0,2011
18,Louisiana,LA,111.7,2011
19,Maine,ME,93.1,2011
20,Maryland,MD,72.9,2011
21,Massachusetts,MA,65.9,2011
22,Michigan,MI,98.8,2011
23,Minnesota,MN,60.0,2011
24,Mississippi,MS,117.2,2011
25,Missouri,MO,91.6,2011
26,Montana,MT,85.3,2011
27,Nebraska,NE,68.8,2011
28,Nevada,NV,100.3,2011
29,New Hampshire,NH,80.9,2011
30,New Jersey,NJ,61.5,2011
31,New Mexico,NM,81.6,2011
32,New York,NY,51.1,2011
33,North Carolina,NC,93.5,2011
34,North Dakota,ND,61.3,2011
35,Ohio,OH,101.5,2011
36,Oklahoma,OK,122.3,2011
37,Oregon,OR,100.7,2011
38,Pennsylvania,PA,81.7,2011
39,Rhode Island,RI,82.5,2011
40,South Carolina,SC,96.8,2011
41,South Dakota,SD,55.1,2011
42,Tennessee,TN,138.5,2011
43,Texas,TX,72.0,2011
44,Utah,UT,85.2,2011
45,Vermont,VT,53.6,2011
46,Virginia,VA,76.6,2011
47,Washington,WA,81.6,2011
48,West Virginia,WV,139.6,2011
49,Wisconsin,WI,75.2,2011
50,Wyoming,WY,78.2,2011
0,Alabama,AL,143.8,2012
1,Alaska,AK,66.8,2012
2,Arizona,AZ,85.3,2012
3,Arkansas,AR,121.8,2012
4,California,CA,56.4,2012
5,Colorado,CO,73.5,2012
6,Connecticut,CT,69.3,2012
7,Delaware,DE,94.0,2012
8,District of Columbia,DC,40.3,2012
9,Florida,FL,75.9,2012
10,Georgia,GA,89.4,2012
11,Hawaii,HI,50.4,2012
12,Idaho,ID,92.0,2012
13,Illinois,IL,66.1,2012
14,Indiana,IN,110.5,2012
15,Iowa,IA,74.1,2012
16,Kansas,KS,90.3,2012
17,Kentucky,KY,127.9,2012
18,Louisiana,LA,113.0,2012
19,Maine,ME,89.7,2012
20,Maryland,MD,72.2,2012
21,Massachusetts,MA,65.7,2012
22,Michigan,MI,100.7,2012
23,Minnesota,MN,60.9,2012
24,Mississippi,MS,121.8,2012
25,Missouri,MO,95.4,2012
26,Montana,MT,87.7,2012
27,Nebraska,NE,73.2,2012
28,Nevada,NV,98.9,2012
29,New Hampshire,NH,83.7,2012
30,New Jersey,NJ,60.1,2012
31,New Mexico,NM,76.8,2012
32,New York,NY,51.8,2012
33,North Carolina,NC,98.6,2012
34,North Dakota,ND,62.1,2012
35,Ohio,OH,97.5,2012
36,Oklahoma,OK,127.4,2012
37,Oregon,OR,98.7,2012
38,Pennsylvania,PA,83.3,2012
39,Rhode Island,RI,83.2,2012
40,South Carolina,SC,104.0,2012
41,South Dakota,SD,60.1,2012
42,Tennessee,TN,136.1,2012
43,Texas,TX,73.4,2012
44,Utah,UT,84.5,2012
45,Vermont,VT,54.6,2012
46,Virginia,VA,79.6,2012
47,Washington,WA,78.7,2012
48,West Virginia,WV,136.9,2012
49,Wisconsin,WI,76.8,2012
50,Wyoming,WY,80.5,2012
0,Alabama,AL,142.4,2013
1,Alaska,AK,63.7,2013
2,Arizona,AZ,80.4,2013
3,Arkansas,AR,120.9,2013
4,California,CA,54.4,2013
5,Colorado,CO,71.2,2013
6,Connecticut,CT,67.4,2013
7,Delaware,DE,92.7,2013
8,District of Columbia,DC,41.1,2013
9,Florida,FL,73.5,2013
10,Georgia,GA,86.6,2013
11,Hawaii,HI,49.4,2013
12,Idaho,ID,89.2,2013
13,Illinois,IL,63.7,2013
14,Indiana,IN,106.3,2013
15,Iowa,IA,72.2,2013
16,Kansas,KS,88.7,2013
17,Kentucky,KY,111.7,2013
18,Louisiana,LA,112.4,2013
19,Maine,ME,85.9,2013
20,Maryland,MD,69.0,2013
21,Massachusetts,MA,63.0,2013
22,Michigan,MI,98.9,2013
23,Minnesota,MN,58.3,2013
24,Mississippi,MS,119.6,2013
25,Missouri,MO,93.3,2013
26,Montana,MT,84.2,2013
27,Nebraska,NE,71.3,2013
28,Nevada,NV,91.1,2013
29,New Hampshire,NH,82.0,2013
30,New Jersey,NJ,58.3,2013
31,New Mexico,NM,71.4,2013
32,New York,NY,46.7,2013
33,North Carolina,NC,96.7,2013
34,North Dakota,ND,60.1,2013
35,Ohio,OH,93.1,2013
36,Oklahoma,OK,123.3,2013
37,Oregon,OR,94.2,2013
38,Pennsylvania,PA,81.6,2013
39,Rhode Island,RI,76.9,2013
40,South Carolina,SC,103.0,2013
41,South Dakota,SD,60.6,2013
42,Tennessee,TN,127.1,2013
43,Texas,TX,70.0,2013
44,Utah,UT,82.1,2013
45,Vermont,VT,52.2,2013
46,Virginia,VA,76.6,2013
47,Washington,WA,75.2,2013
48,West Virginia,WV,129.0,2013
49,Wisconsin,WI,73.8,2013
50,Wyoming,WY,81.5,2013
0,Alabama,AL,135.2,2014
1,Alaska,AK,62.7,2014
2,Arizona,AZ,79.7,2014
3,Arkansas,AR,123.2,2014
4,California,CA,52.7,2014
5,Colorado,CO,69.6,2014
6,Connecticut,CT,66.0,2014
7,Delaware,DE,91.0,2014
8,District of Columbia,DC,40.1,2014
9,Florida,FL,71.4,2014
10,Georgia,GA,83.8,2014
11,Hawaii,HI,47.7,2014
12,Idaho,ID,87.4,2014
13,Illinois,IL,62.3,2014
14,Indiana,IN,96.7,2014
15,Iowa,IA,72.3,2014
16,Kansas,KS,86.5,2014
17,Kentucky,KY,110.0,2014
18,Louisiana,LA,108.9,2014
19,Maine,ME,82.4,2014
20,Maryland,MD,67.6,2014
21,Massachusetts,MA,59.6,2014
22,Michigan,MI,98.0,2014
23,Minnesota,MN,56.6,2014
24,Mississippi,MS,116.3,2014
25,Missouri,MO,90.7,2014
26,Montana,MT,80.1,2014
27,Nebraska,NE,70.1,2014
28,Nevada,NV,90.1,2014
29,New Hampshire,NH,79.6,2014
30,New Jersey,NJ,57.2,2014
31,New Mexico,NM,71.5,2014
32,New York,NY,43.9,2014
33,North Carolina,NC,93.7,2014
34,North Dakota,ND,58.1,2014
35,Ohio,OH,89.5,2014
36,Oklahoma,OK,110.9,2014
37,Oregon,OR,91.9,2014
38,Pennsylvania,PA,79.9,2014
39,Rhode Island,RI,72.8,2014
40,South Carolina,SC,101.3,2014
41,South Dakota,SD,61.7,2014
42,Tennessee,TN,121.3,2014
43,Texas,TX,67.0,2014
44,Utah,UT,78.8,2014
45,Vermont,VT,50.4,2014
46,Virginia,VA,73.5,2014
47,Washington,WA,74.2,2014
48,West Virginia,WV,126.4,2014
49,Wisconsin,WI,71.9,2014
50,Wyoming,WY,80.9,2014
0,Alabama,AL,125.0,2015
1,Alaska,AK,60.8,2015
2,Arizona,AZ,75.5,2015
3,Arkansas,AR,117.2,2015
4,California,CA,47.7,2015
5,Colorado,CO,65.1,2015
6,Connecticut,CT,62.3,2015
7,Delaware,DE,84.4,2015
8,District of Columbia,DC,35.7,2015
9,Florida,FL,67.1,2015
10,Georgia,GA,79.4,2015
11,Hawaii,HI,44.3,2015
12,Idaho,ID,81.9,2015
13,Illinois,IL,59.1,2015
14,Indiana,IN,89.1,2015
15,Iowa,IA,68.6,2015
16,Kansas,KS,80.5,2015
17,Kentucky,KY,102.6,2015
18,Louisiana,LA,100.4,2015
19,Maine,ME,76.5,2015
20,Maryland,MD,63.0,2015
21,Massachusetts,MA,54.0,2015
22,Michigan,MI,90.5,2015
23,Minnesota,MN,52.1,2015
24,Mississippi,MS,110.9,2015
25,Missouri,MO,84.5,2015
26,Montana,MT,73.3,2015
27,Nebraska,NE,65.5,2015
28,Nevada,NV,85.4,2015
29,New Hampshire,NH,74.8,2015
30,New Jersey,NJ,56.0,2015
31,New Mexico,NM,69.8,2015
32,New York,NY,45.1,2015
33,North Carolina,NC,88.4,2015
34,North Dakota,ND,53.0,2015
35,Ohio,OH,82.7,2015
36,Oklahoma,OK,104.4,2015
37,Oregon,OR,84.2,2015
38,Pennsylvania,PA,75.5,2015
39,Rhode Island,RI,65.7,2015
40,South Carolina,SC,95.1,2015
41,South Dakota,SD,59.1,2015
42,Tennessee,TN,114.9,2015
43,Texas,TX,59.8,2015
44,Utah,UT,74.4,2015
45,Vermont,VT,60.1,2015
46,Virginia,VA,68.1,2015
47,Washington,WA,69.8,2015
48,West Virginia,WV,111.3,2015
49,Wisconsin,WI,67.5,2015
50,Wyoming,WY,75.4,2015
0,Alabama,AL,121.0,2016
1,Alaska,AK,58.9,2016
2,Arizona,AZ,70.2,2016
3,Arkansas,AR,114.6,2016
4,California,CA,44.8,2016
5,Colorado,CO,59.8,2016
6,Connecticut,CT,55.9,2016
7,Delaware,DE,79.2,2016
8,District of Columbia,DC,32.5,2016
9,Florida,FL,66.6,2016
10,Georgia,GA,77.8,2016
11,Hawaii,HI,41.9,2016
12,Idaho,ID,77.6,2016
13,Illinois,IL,56.8,2016
14,Indiana,IN,83.9,2016
15,Iowa,IA,64.0,2016
16,Kansas,KS,76.9,2016
17,Kentucky,KY,97.2,2016
18,Louisiana,LA,98.1,2016
19,Maine,ME,66.9,2016
20,Maryland,MD,58.7,2016
21,Massachusetts,MA,47.1,2016
22,Michigan,MI,84.9,2016
23,Minnesota,MN,46.9,2016
24,Mississippi,MS,105.6,2016
25,Missouri,MO,80.4,2016
26,Montana,MT,69.8,2016
27,Nebraska,NE,62.8,2016
28,Nevada,NV,80.7,2016
29,New Hampshire,NH,64.3,2016
30,New Jersey,NJ,52.6,2016
31,New Mexico,NM,65.1,2016
32,New York,NY,42.7,2016
33,North Carolina,NC,82.5,2016
34,North Dakota,ND,47.8,2016
35,Ohio,OH,75.3,2016
36,Oklahoma,OK,97.9,2016
37,Oregon,OR,76.3,2016
38,Pennsylvania,PA,69.5,2016
39,Rhode Island,RI,60.3,2016
40,South Carolina,SC,89.4,2016
41,South Dakota,SD,54.8,2016
42,Tennessee,TN,107.5,2016
43,Texas,TX,57.6,2016
44,Utah,UT,70.4,2016
45,Vermont,VT,58.6,2016
46,Virginia,VA,63.4,2016
47,Washington,WA,64.9,2016
48,West Virginia,WV,96.0,2016
49,Wisconsin,WI,62.2,2016
50,Wyoming,WY,71.1,2016
