,State,Year,Sex,Age Group,Race and Hispanic Origin,Deaths,Population,Crude Death Rate,Standard Error for Crude Rate,Lower Confidence Limit for Crude Rate,Upper Confidence Limit for Crude Rate,Age-adjusted Rate,Standard Error for Age-adjusted Rate,Lower Confidence Limit for Age-adjusted Rate,Upper Confidence Limit for Age-adjusted Rate,State Crude Rate in Range,US Crude Rate,US Age-adjusted Rate,Unit,State.ABBR,Prescribing.Rate
11,Alaska,2006,Both Sexes,All Ages,All Races-All Origins,76,675302,11.2542,1.29095,8.867,14.0863,11.0604,1.29844,8.6696,13.9068,10.3–12.6,11.5373,11.4883,"per 100,000 population",AK,63.4
12,Alaska,2007,Both Sexes,All Ages,All Races-All Origins,72,680300,10.5836,1.24729,8.281,13.3282,10.0941,1.2055200000000001,7.8688,12.7533,7.1–10.2,11.9543,11.8775,"per 100,000 population",AK,66.6
13,Alaska,2008,Both Sexes,All Ages,All Races-All Origins,127,687455,18.4739,1.6393,15.2609,21.686999999999998,18.1345,1.6495400000000002,14.9014,21.3676,16–52,11.9864,11.8947,"per 100,000 population",AK,68.5
14,Alaska,2009,Both Sexes,All Ages,All Races-All Origins,131,698895,18.7439,1.6376600000000001,15.5341,21.9537,17.8528,1.5963100000000001,14.724,20.9816,16–52,12.0624,11.9388,"per 100,000 population",AK,67.3
15,Alaska,2010,Both Sexes,All Ages,All Races-All Origins,83,710231,11.6863,1.28274,9.3081,14.487,11.5962,1.30471,9.1809,14.4524,10.3–12.6,12.4144,12.2966,"per 100,000 population",AK,68.4
16,Alaska,2011,Both Sexes,All Ages,All Races-All Origins,107,722718,14.8052,1.43127,11.9999,17.6105,14.2364,1.40475,11.482999999999999,16.9897,12.6–16,13.2674,13.1852,"per 100,000 population",AK,68.0
17,Alaska,2012,Both Sexes,All Ages,All Races-All Origins,129,731449,17.6362,1.5527799999999998,14.5928,20.6797,17.4251,1.5823399999999999,14.3237,20.5264,16–52,13.2208,13.1422,"per 100,000 population",AK,66.8
18,Alaska,2013,Both Sexes,All Ages,All Races-All Origins,105,735132,14.2831,1.39389,11.5511,17.0152,14.3519,1.44448,11.5207,17.1831,12.6–16,13.9127,13.8005,"per 100,000 population",AK,63.7
19,Alaska,2014,Both Sexes,All Ages,All Races-All Origins,124,736732,16.8311,1.51148,13.8686,19.7936,16.7585,1.54982,13.7209,19.7961,16–52,14.7574,14.6831,"per 100,000 population",AK,62.7
20,Alaska,2015,Both Sexes,All Ages,All Races-All Origins,122,738432,16.5215,1.49579,13.5898,19.4532,15.9606,1.4815200000000002,13.0568,18.8644,12.6–16,16.304000000000002,16.2923,"per 100,000 population",AK,60.8
21,Alaska,2016,Both Sexes,All Ages,All Races-All Origins,128,741894,17.2531,1.52498,14.2642,20.2421,16.8331,1.52167,13.8507,19.8156,16–52,19.6925,19.7851,"per 100,000 population",AK,58.9
22,Arizona,2006,Both Sexes,All Ages,All Races-All Origins,876,6029141,14.5294,0.4909,13.5673,15.4916,14.9163,0.5092,13.9183,15.9144,12.6–16,11.5373,11.4883,"per 100,000 population",AZ,74.3
23,Arizona,2007,Both Sexes,All Ages,All Races-All Origins,943,6167681,15.2894,0.49788999999999994,14.3135,16.2652,15.7117,0.51523,14.7018,16.7215,12.6–16,11.9543,11.8775,"per 100,000 population",AZ,77.8
24,Arizona,2008,Both Sexes,All Ages,All Races-All Origins,828,6280362,13.184000000000001,0.45816999999999997,12.2859,14.082,13.5455,0.4746,12.6153,14.4757,12.6–16,11.9864,11.8947,"per 100,000 population",AZ,80.9
25,Arizona,2009,Both Sexes,All Ages,All Races-All Origins,1002,6343154,15.7966,0.49903000000000003,14.8185,16.7747,16.1338,0.5148199999999999,15.1248,17.1429,16–52,12.0624,11.9388,"per 100,000 population",AZ,84.2
26,Arizona,2010,Both Sexes,All Ages,All Races-All Origins,1098,6392017,17.1777,0.5184,16.1616,18.1937,17.4977,0.5340600000000001,16.4509,18.5445,16–52,12.4144,12.2966,"per 100,000 population",AZ,88.5
27,Arizona,2011,Both Sexes,All Ages,All Races-All Origins,1071,6482505,16.5214,0.50484,15.5319,17.5109,16.8532,0.52213,15.8298,17.8766,16–52,13.2674,13.1852,"per 100,000 population",AZ,88.6
28,Arizona,2012,Both Sexes,All Ages,All Races-All Origins,1134,6553255,17.3044,0.5138699999999999,16.2972,18.3116,17.6797,0.5330199999999999,16.635,18.7244,16–52,13.2208,13.1422,"per 100,000 population",AZ,85.3
29,Arizona,2013,Both Sexes,All Ages,All Races-All Origins,1222,6626624,18.4408,0.52753,17.4068,19.4747,18.7376,0.54515,17.6691,19.8061,16–52,13.9127,13.8005,"per 100,000 population",AZ,80.4
30,Arizona,2014,Both Sexes,All Ages,All Races-All Origins,1211,6731484,17.9901,0.5169699999999999,16.9768,19.0033,18.1685,0.5323399999999999,17.1251,19.2119,16–52,14.7574,14.6831,"per 100,000 population",AZ,79.7
31,Arizona,2015,Both Sexes,All Ages,All Races-All Origins,1274,6828065,18.6583,0.52274,17.6337,19.6829,19.0161,0.5435800000000001,17.9506,20.0815,16–52,16.304000000000002,16.2923,"per 100,000 population",AZ,75.5
32,Arizona,2016,Both Sexes,All Ages,All Races-All Origins,1382,6931071,19.9392,0.5363600000000001,18.8879,20.9905,20.2697,0.55679,19.1784,21.361,16–52,19.6925,19.7851,"per 100,000 population",AZ,70.2
33,Arkansas,2006,Both Sexes,All Ages,All Races-All Origins,285,2821761,10.1001,0.59828,8.9275,11.2727,10.4539,0.62379,9.2313,11.6765,10.3–12.6,11.5373,11.4883,"per 100,000 population",AR,98.3
34,Arkansas,2007,Both Sexes,All Ages,All Races-All Origins,301,2848650,10.5664,0.6090399999999999,9.3727,11.7601,10.8886,0.6332399999999999,9.6475,12.1298,10.3–12.6,11.9543,11.8775,"per 100,000 population",AR,108.2
35,Arkansas,2008,Both Sexes,All Ages,All Races-All Origins,360,2874554,12.5237,0.6600600000000001,11.23,13.8174,13.0512,0.695,11.689,14.4134,12.6–16,11.9864,11.8947,"per 100,000 population",AR,112.1
36,Arkansas,2009,Both Sexes,All Ages,All Races-All Origins,351,2896843,12.1166,0.64674,10.849,13.3842,12.5975,0.6803600000000001,11.264000000000001,13.931,12.6–16,12.0624,11.9388,"per 100,000 population",AR,116.0
37,Arkansas,2010,Both Sexes,All Ages,All Races-All Origins,350,2915918,12.0031,0.64159,10.7456,13.2606,12.5146,0.67812,11.1855,13.8437,10.3–12.6,12.4144,12.2966,"per 100,000 population",AR,120.8
38,Arkansas,2011,Both Sexes,All Ages,All Races-All Origins,355,2937979,12.0831,0.64131,10.8262,13.3401,12.6401,0.6806,11.3061,13.9741,12.6–16,13.2674,13.1852,"per 100,000 population",AR,115.2
39,Arkansas,2012,Both Sexes,All Ages,All Races-All Origins,373,2949131,12.6478,0.65488,11.3642,13.9314,13.0962,0.6893100000000001,11.7451,14.4472,12.6–16,13.2208,13.1422,"per 100,000 population",AR,121.8
40,Arkansas,2013,Both Sexes,All Ages,All Races-All Origins,319,2959373,10.7793,0.60353,9.5964,11.9622,11.0713,0.63098,9.8345,12.308,10.3–12.6,13.9127,13.8005,"per 100,000 population",AR,120.9
41,Arkansas,2014,Both Sexes,All Ages,All Races-All Origins,356,2966369,12.0012,0.6360600000000001,10.7545,13.2479,12.55,0.67718,11.2228,13.8773,10.3–12.6,14.7574,14.6831,"per 100,000 population",AR,123.2
42,Arkansas,2015,Both Sexes,All Ages,All Races-All Origins,392,2978204,13.1623,0.6648,11.8593,14.4653,13.8454,0.71326,12.4474,15.2434,12.6–16,16.304000000000002,16.2923,"per 100,000 population",AR,117.2
43,Arkansas,2016,Both Sexes,All Ages,All Races-All Origins,401,2988248,13.4192,0.6701199999999999,12.1058,14.7327,13.9917,0.71383,12.5926,15.3908,12.6–16,19.6925,19.7851,"per 100,000 population",AR,114.6
44,California,2006,Both Sexes,All Ages,All Races-All Origins,3494,36021202,9.6998,0.1641,9.3782,10.0215,9.6031,0.16297,9.2837,9.9226,7.1–10.2,11.5373,11.4883,"per 100,000 population",CA,51.0
45,California,2007,Both Sexes,All Ages,All Races-All Origins,3854,36250311,10.6316,0.17126,10.296,10.9673,10.4807,0.16952,10.1484,10.8129,10.3–12.6,11.9543,11.8775,"per 100,000 population",CA,53.6
46,California,2008,Both Sexes,All Ages,All Races-All Origins,3863,36604337,10.5534,0.1698,10.2206,10.8862,10.3705,0.16779000000000002,10.0417,10.6994,10.3–12.6,11.9864,11.8947,"per 100,000 population",CA,55.1
47,California,2009,Both Sexes,All Ages,All Races-All Origins,4056,36961229,10.9737,0.17231,10.6359,11.3114,10.7369,0.16975,10.4042,11.0696,10.3–12.6,12.0624,11.9388,"per 100,000 population",CA,55.6
48,California,2010,Both Sexes,All Ages,All Races-All Origins,4057,37253956,10.8901,0.17097,10.555,11.2252,10.5598,0.16715,10.2322,10.8874,10.3–12.6,12.4144,12.2966,"per 100,000 population",CA,55.8
49,California,2011,Both Sexes,All Ages,All Races-All Origins,4180,37691912,11.0899,0.17153,10.7537,11.4261,10.7344,0.16762,10.4059,11.0629,10.3–12.6,13.2674,13.1852,"per 100,000 population",CA,55.9
50,California,2012,Both Sexes,All Ages,All Races-All Origins,4040,38041430,10.62,0.16708,10.2925,10.9475,10.2923,0.16365,9.9716,10.6131,10.3–12.6,13.2208,13.1422,"per 100,000 population",CA,56.4
51,California,2013,Both Sexes,All Ages,All Races-All Origins,4452,38332521,11.6142,0.17406,11.273,11.9553,11.1379,0.16888,10.8069,11.4689,10.3–12.6,13.9127,13.8005,"per 100,000 population",CA,54.4
52,California,2014,Both Sexes,All Ages,All Races-All Origins,4521,38802500,11.6513,0.17328,11.3117,11.9909,11.102,0.16735,10.774000000000001,11.43,10.3–12.6,14.7574,14.6831,"per 100,000 population",CA,52.7
53,California,2015,Both Sexes,All Ages,All Races-All Origins,4659,39144818,11.902000000000001,0.17437,11.5602,12.2437,11.3219,0.16837,10.9919,11.6519,10.3–12.6,16.304000000000002,16.2923,"per 100,000 population",CA,47.7
54,California,2016,Both Sexes,All Ages,All Races-All Origins,4654,39250017,11.8573,0.17381,11.5167,12.198,11.2218,0.16727,10.8939,11.5496,10.3–12.6,19.6925,19.7851,"per 100,000 population",CA,44.8
55,Colorado,2006,Both Sexes,All Ages,All Races-All Origins,627,4720423,13.2827,0.53046,12.243,14.3224,12.8239,0.51493,11.8147,13.8332,12.6–16,11.5373,11.4883,"per 100,000 population",CO,62.2
56,Colorado,2007,Both Sexes,All Ages,All Races-All Origins,734,4803868,15.2794,0.56397,14.174000000000001,16.3847,14.7299,0.54751,13.6568,15.8031,12.6–16,11.9543,11.8775,"per 100,000 population",CO,65.9
57,Colorado,2008,Both Sexes,All Ages,All Races-All Origins,749,4889730,15.3178,0.5597,14.2208,16.4148,14.7725,0.54432,13.7056,15.8394,12.6–16,11.9864,11.8947,"per 100,000 population",CO,67.7
58,Colorado,2009,Both Sexes,All Ages,All Races-All Origins,769,4972195,15.466,0.55772,14.3729,16.5591,14.9699,0.54514,13.9014,16.0383,12.6–16,12.0624,11.9388,"per 100,000 population",CO,69.8
59,Colorado,2010,Both Sexes,All Ages,All Races-All Origins,654,5029196,13.0041,0.5085,12.0074,14.0007,12.6675,0.50053,11.6864,13.6485,12.6–16,12.4144,12.2966,"per 100,000 population",CO,72.0
60,Colorado,2011,Both Sexes,All Ages,All Races-All Origins,843,5116796,16.4752,0.56743,15.363,17.5873,16.1231,0.56192,15.0217,17.2245,16–52,13.2674,13.1852,"per 100,000 population",CO,73.0
61,Colorado,2012,Both Sexes,All Ages,All Races-All Origins,807,5187582,15.5564,0.54761,14.4831,16.6297,15.0082,0.5350699999999999,13.9594,16.0569,12.6–16,13.2208,13.1422,"per 100,000 population",CO,73.5
62,Colorado,2013,Both Sexes,All Ages,All Races-All Origins,846,5268367,16.0581,0.55209,14.975999999999999,17.1402,15.5429,0.54172,14.4811,16.6047,12.6–16,13.9127,13.8005,"per 100,000 population",CO,71.2
63,Colorado,2014,Both Sexes,All Ages,All Races-All Origins,899,5355866,16.7853,0.55982,15.6881,17.8826,16.2953,0.55157,15.2142,17.3763,16–52,14.7574,14.6831,"per 100,000 population",CO,69.6
64,Colorado,2015,Both Sexes,All Ages,All Races-All Origins,869,5456574,15.9257,0.5402399999999999,14.8669,16.9846,15.368,0.52958,14.3301,16.406,12.6–16,16.304000000000002,16.2923,"per 100,000 population",CO,65.1
65,Colorado,2016,Both Sexes,All Ages,All Races-All Origins,942,5540545,17.0019,0.55395,15.9162,18.0877,16.5808,0.5494100000000001,15.5039,17.6576,16–52,19.6925,19.7851,"per 100,000 population",CO,59.8
66,Connecticut,2006,Both Sexes,All Ages,All Races-All Origins,407,3517460,11.5708,0.57355,10.4467,12.695,11.5107,0.5756,10.3825,12.6389,10.3–12.6,11.5373,11.4883,"per 100,000 population",CT,64.7
67,Connecticut,2007,Both Sexes,All Ages,All Races-All Origins,433,3527270,12.2758,0.5899399999999999,11.1195,13.4321,12.2348,0.59408,11.0704,13.3992,10.3–12.6,11.9543,11.8775,"per 100,000 population",CT,67.5
68,Connecticut,2008,Both Sexes,All Ages,All Races-All Origins,386,3545579,10.8868,0.55412,9.8007,11.9729,10.7434,0.55393,9.6577,11.8291,10.3–12.6,11.9864,11.8947,"per 100,000 population",CT,68.7
69,Connecticut,2009,Both Sexes,All Ages,All Races-All Origins,393,3561807,11.0337,0.55658,9.9428,12.1246,10.9834,0.56237,9.8812,12.0857,10.3–12.6,12.0624,11.9388,"per 100,000 population",CT,68.1
70,Connecticut,2010,Both Sexes,All Ages,All Races-All Origins,363,3574097,10.1564,0.5330699999999999,9.1116,11.2012,10.0601,0.53701,9.0076,11.1126,7.1–10.2,12.4144,12.2966,"per 100,000 population",CT,68.6
71,Connecticut,2011,Both Sexes,All Ages,All Races-All Origins,402,3580709,11.2268,0.55994,10.1293,12.3243,11.2375,0.57097,10.1184,12.3566,10.3–12.6,13.2674,13.1852,"per 100,000 population",CT,69.1
72,Connecticut,2012,Both Sexes,All Ages,All Races-All Origins,439,3590347,12.2272,0.58357,11.0834,13.370999999999999,12.0508,0.58792,10.8985,13.2031,10.3–12.6,13.2208,13.1422,"per 100,000 population",CT,69.3
73,Connecticut,2013,Both Sexes,All Ages,All Races-All Origins,582,3596080,16.1843,0.67086,14.8694,17.4992,15.9945,0.67869,14.6643,17.3247,12.6–16,13.9127,13.8005,"per 100,000 population",CT,67.4
74,Connecticut,2014,Both Sexes,All Ages,All Races-All Origins,623,3596677,17.3215,0.69397,15.9614,18.6817,17.641,0.72367,16.2227,19.0594,16–52,14.7574,14.6831,"per 100,000 population",CT,66.0
75,Connecticut,2015,Both Sexes,All Ages,All Races-All Origins,800,3590886,22.2786,0.78767,20.7348,23.8225,22.0656,0.80316,20.4914,23.6398,16–52,16.304000000000002,16.2923,"per 100,000 population",CT,62.3
76,Connecticut,2016,Both Sexes,All Ages,All Races-All Origins,971,3576452,27.1498,0.8712799999999999,25.4421,28.8575,27.3914,0.9057200000000001,25.6162,29.1666,16–52,19.6925,19.7851,"per 100,000 population",CT,55.9
77,Delaware,2006,Both Sexes,All Ages,All Races-All Origins,78,859268,9.0775,1.0278200000000002,7.1754,11.3291,9.3592,1.0640399999999999,7.3861,11.6974,7.1–10.2,11.5373,11.4883,"per 100,000 population",DE,86.6
78,Delaware,2007,Both Sexes,All Ages,All Races-All Origins,97,871749,11.1271,1.12978,9.0233,13.5741,11.4094,1.16756,9.2309,13.9474,10.3–12.6,11.9543,11.8775,"per 100,000 population",DE,92.3
79,Delaware,2008,Both Sexes,All Ages,All Races-All Origins,124,883874,14.0291,1.25985,11.5598,16.4985,14.2858,1.29314,11.7512,16.8203,12.6–16,11.9864,11.8947,"per 100,000 population",DE,95.4
80,Delaware,2009,Both Sexes,All Ages,All Races-All Origins,136,891730,15.2513,1.30778,12.687999999999999,17.8145,15.3675,1.3335299999999999,12.7538,17.9812,12.6–16,12.0624,11.9388,"per 100,000 population",DE,97.5
81,Delaware,2010,Both Sexes,All Ages,All Races-All Origins,145,897934,16.1482,1.34103,13.5198,18.7766,16.6433,1.4008399999999999,13.8976,19.3889,16–52,12.4144,12.2966,"per 100,000 population",DE,101.1
82,Delaware,2011,Both Sexes,All Ages,All Races-All Origins,160,907135,17.6379,1.3944,14.9049,20.371,17.6336,1.4138899999999999,14.8624,20.4048,16–52,13.2674,13.1852,"per 100,000 population",DE,99.7
83,Delaware,2012,Both Sexes,All Ages,All Races-All Origins,141,917092,15.3747,1.2947799999999998,12.8369,17.9125,15.2077,1.30749,12.645,17.7703,12.6–16,13.2208,13.1422,"per 100,000 population",DE,94.0
84,Delaware,2013,Both Sexes,All Ages,All Races-All Origins,166,925749,17.9314,1.39175,15.2036,20.6593,18.7293,1.4841600000000001,15.8203,21.6383,16–52,13.9127,13.8005,"per 100,000 population",DE,92.7
85,Delaware,2014,Both Sexes,All Ages,All Races-All Origins,189,935614,20.2006,1.46938,17.3207,23.0806,20.9428,1.5596299999999998,17.8859,23.9997,16–52,14.7574,14.6831,"per 100,000 population",DE,91.0
86,Delaware,2015,Both Sexes,All Ages,All Races-All Origins,198,945934,20.9317,1.48755,18.0161,23.8473,21.9747,1.59504,18.8484,25.101,16–52,16.304000000000002,16.2923,"per 100,000 population",DE,84.4
87,Delaware,2016,Both Sexes,All Ages,All Races-All Origins,282,952065,29.6198,1.76383,26.1627,33.0769,30.7819,1.8790099999999998,27.0991,34.4648,16–52,19.6925,19.7851,"per 100,000 population",DE,79.2
88,District of Columbia,2006,Both Sexes,All Ages,All Races-All Origins,101,570681,17.6982,1.7610299999999999,14.2465,21.1498,17.8431,1.7867,14.3411,21.345,16–52,11.5373,11.4883,"per 100,000 population",DC,31.7
89,District of Columbia,2007,Both Sexes,All Ages,All Races-All Origins,61,574404,10.6197,1.35971,8.1232,13.6415,10.7678,1.3907,8.217,13.8603,10.3–12.6,11.9543,11.8775,"per 100,000 population",DC,41.2
90,District of Columbia,2008,Both Sexes,All Ages,All Races-All Origins,56,580236,9.6512,1.2897,7.2904,12.5329,9.6396,1.30003,7.2618,12.5472,7.1–10.2,11.9864,11.8947,"per 100,000 population",DC,34.5
91,District of Columbia,2009,Both Sexes,All Ages,All Races-All Origins,26,592228,4.3902,0.8609899999999999,2.8678,6.4327,4.0799,0.81221,2.6403,6.0227,1.8–7.1,12.0624,11.9388,"per 100,000 population",DC,34.4
92,District of Columbia,2010,Both Sexes,All Ages,All Races-All Origins,78,601723,12.9628,1.46775,10.2465,16.1781,12.9464,1.4897799999999999,10.2003,16.2044,12.6–16,12.4144,12.2966,"per 100,000 population",DC,37.1
93,District of Columbia,2011,Both Sexes,All Ages,All Races-All Origins,86,617996,13.9159,1.5006,11.130999999999998,17.1861,13.4869,1.48045,10.7422,16.719,12.6–16,13.2674,13.1852,"per 100,000 population",DC,39.8
94,District of Columbia,2012,Both Sexes,All Ages,All Races-All Origins,77,632323,12.1773,1.38773,9.6102,15.2196,12.5815,1.45716,9.8961,15.770999999999999,10.3–12.6,13.2208,13.1422,"per 100,000 population",DC,40.3
95,District of Columbia,2013,Both Sexes,All Ages,All Races-All Origins,102,646449,15.7785,1.5623,12.7164,18.8406,14.9563,1.51724,11.9825,17.9301,12.6–16,13.9127,13.8005,"per 100,000 population",DC,41.1
96,District of Columbia,2014,Both Sexes,All Ages,All Races-All Origins,96,658893,14.5699,1.4870299999999999,11.8017,17.7923,14.2281,1.48139,11.4698,17.4495,12.6–16,14.7574,14.6831,"per 100,000 population",DC,40.1
97,District of Columbia,2015,Both Sexes,All Ages,All Races-All Origins,125,672228,18.5949,1.6631799999999999,15.3351,21.8547,18.5511,1.6864299999999999,15.2457,21.8565,16–52,16.304000000000002,16.2923,"per 100,000 population",DC,35.7
98,District of Columbia,2016,Both Sexes,All Ages,All Races-All Origins,269,681170,39.4909,2.4078,34.7716,44.2102,38.8,2.40658,34.0831,43.5169,16–52,19.6925,19.7851,"per 100,000 population",DC,32.5
99,Florida,2006,Both Sexes,All Ages,All Races-All Origins,2591,18166990,14.2621,0.28019,13.713,14.8113,14.4039,0.28542,13.8445,14.9633,12.6–16,11.5373,11.4883,"per 100,000 population",FL,79.7
100,Florida,2007,Both Sexes,All Ages,All Races-All Origins,2794,18367842,15.2114,0.28778000000000004,14.6473,15.7754,15.4163,0.29457,14.8389,15.9936,12.6–16,11.9543,11.8775,"per 100,000 population",FL,82.2
101,Florida,2008,Both Sexes,All Ages,All Races-All Origins,2963,18527305,15.9926,0.2938,15.4168,16.5685,16.2201,0.30151999999999995,15.6292,16.8111,16–52,11.9864,11.8947,"per 100,000 population",FL,84.3
102,Florida,2009,Both Sexes,All Ages,All Races-All Origins,3092,18652644,16.5767,0.29811,15.9924,17.160999999999998,16.678,0.30448000000000003,16.0812,17.2748,16–52,12.0624,11.9388,"per 100,000 population",FL,86.3
103,Florida,2010,Both Sexes,All Ages,All Races-All Origins,3061,18801310,16.2808,0.29427,15.704,16.8575,16.374000000000002,0.30113,15.7838,16.9642,16–52,12.4144,12.2966,"per 100,000 population",FL,87.6
104,Florida,2011,Both Sexes,All Ages,All Races-All Origins,2918,19057542,15.3115,0.28345,14.755999999999998,15.8671,15.3918,0.29068,14.8221,15.9615,12.6–16,13.2674,13.1852,"per 100,000 population",FL,83.5
105,Florida,2012,Both Sexes,All Ages,All Races-All Origins,2597,19317568,13.4437,0.26381,12.9267,13.9608,13.2659,0.26653000000000004,12.7435,13.7883,12.6–16,13.2208,13.1422,"per 100,000 population",FL,75.9
106,Florida,2013,Both Sexes,All Ages,All Races-All Origins,2474,19552860,12.6529,0.25438,12.1543,13.1515,12.5629,0.25911999999999996,12.055,13.0708,10.3–12.6,13.9127,13.8005,"per 100,000 population",FL,73.5
107,Florida,2014,Both Sexes,All Ages,All Races-All Origins,2634,19893297,13.2406,0.25799,12.735,13.7463,13.1958,0.26411,12.6782,13.7135,12.6–16,14.7574,14.6831,"per 100,000 population",FL,71.4
108,Florida,2015,Both Sexes,All Ages,All Races-All Origins,3228,20271272,15.924000000000001,0.28028000000000003,15.3747,16.4734,16.2362,0.29356,15.6608,16.8116,16–52,16.304000000000002,16.2923,"per 100,000 population",FL,67.1
109,Florida,2016,Both Sexes,All Ages,All Races-All Origins,4728,20612439,22.9376,0.33359,22.2838,23.5914,23.7451,0.35474,23.0498,24.4404,16–52,19.6925,19.7851,"per 100,000 population",FL,66.6
110,Georgia,2006,Both Sexes,All Ages,All Races-All Origins,830,9155813,9.0653,0.31466,8.4485,9.682,8.9427,0.31142,8.3323,9.5531,7.1–10.2,11.5373,11.4883,"per 100,000 population",GA,79.8
111,Georgia,2007,Both Sexes,All Ages,All Races-All Origins,923,9349988,9.8717,0.32493,9.2348,10.5085,9.6862,0.32014000000000004,9.0588,10.3137,7.1–10.2,11.9543,11.8775,"per 100,000 population",GA,82.5
112,Georgia,2008,Both Sexes,All Ages,All Races-All Origins,935,9504843,9.8371,0.32171,9.2065,10.4676,9.7082,0.31926,9.0824,10.3339,7.1–10.2,11.9864,11.8947,"per 100,000 population",GA,86.3
113,Georgia,2009,Both Sexes,All Ages,All Races-All Origins,1007,9620846,10.4669,0.32984,9.8204,11.1133,10.3199,0.32750999999999997,9.677999999999999,10.9619,10.3–12.6,12.0624,11.9388,"per 100,000 population",GA,88.2
114,Georgia,2010,Both Sexes,All Ages,All Races-All Origins,1054,9687653,10.8798,0.33512,10.222999999999999,11.5367,10.7099,0.33208000000000004,10.059,11.3608,10.3–12.6,12.4144,12.2966,"per 100,000 population",GA,90.2
115,Georgia,2011,Both Sexes,All Ages,All Races-All Origins,1058,9815210,10.7792,0.33139,10.1297,11.4287,10.6608,0.33041,10.0132,11.3084,10.3–12.6,13.2674,13.1852,"per 100,000 population",GA,88.6
116,Georgia,2012,Both Sexes,All Ages,All Races-All Origins,1056,9919945,10.6452,0.32758000000000004,10.0032,11.2873,10.5933,0.32900999999999997,9.9484,11.2381,10.3–12.6,13.2208,13.1422,"per 100,000 population",GA,89.4
117,Georgia,2013,Both Sexes,All Ages,All Races-All Origins,1098,9992167,10.9886,0.33161999999999997,10.3386,11.6386,10.8204,0.33005,10.1735,11.4673,10.3–12.6,13.9127,13.8005,"per 100,000 population",GA,86.6
118,Georgia,2014,Both Sexes,All Ages,All Races-All Origins,1206,10097343,11.9437,0.34393,11.2696,12.6178,11.8978,0.34628000000000003,11.2191,12.5765,10.3–12.6,14.7574,14.6831,"per 100,000 population",GA,83.8
119,Georgia,2015,Both Sexes,All Ages,All Races-All Origins,1302,10214860,12.7461,0.35324,12.0538,13.4385,12.6797,0.3555,11.982999999999999,13.3765,12.6–16,16.304000000000002,16.2923,"per 100,000 population",GA,79.4
120,Georgia,2016,Both Sexes,All Ages,All Races-All Origins,1394,10310371,13.5204,0.36212,12.8106,14.2301,13.3349,0.36209,12.6252,14.0446,12.6–16,19.6925,19.7851,"per 100,000 population",GA,77.8
